id;customer_type;phone;name;last_order_at;order_count;active
1;RECEIVER;"0555054345";in;2026-08-11T02:50:35;4128;false
2;CORPORATE;"0866423237";not intensely jumbo;2026-08-10T20:33:40;25027;true
3;RECEIVER;"+84310805069";brr parsnip about;2026-08-11T04:10:34;20196;false
4;RECEIVER;"0998592646";knowingly tricky;2026-08-10T19:42:38;26867;true
5;SENDER;"0593507552";or hmph;2026-08-10T19:58:31;29674;true
6;SENDER;"0923266173";psst;2026-08-11T01:28:23;21374;true
7;RECEIVER;"0395603332";aw;2026-08-10T19:44:03;8977;true
8;CORPORATE;"0981333186";present fat;2026-08-11T05:49:59;8161;true
9;RECEIVER;"0814212097";than until;2026-08-10T20:36:27;721;true
10;RECEIVER;"+84304625397";tough astride inside;2026-08-11T04:09:42;7494;true
