id;driver_code;full_name;phone;active
1;thrifty gee;on;240-276-1038 x8423;true
2;unbearably chromakey unless;enlist;389-757-2200;false
3;meanwhile;aw hungrily;1-629-422-2228 x6098;true
4;aha geez;aw regarding;716.551.3591;true
5;justly kookily;grade phew even;343.664.6391 x99669;true
6;electronics acquaintance;seafood often;423.682.4190 x16935;true
7;new solder;since oil;1-568-704-1896 x7111;false
8;yum fervently;worriedly grounded;1-784-401-9085 x329;false
9;across below mutate;minus inconsequential;1-872-473-9324 x434;true
10;restaurant naughty up;drat brr serenade;1-672-844-7597;true
